Membro
We1less
Tymoteusz Lopaczyk
Oleksandr Strutynskyi
Martin Nguyen
G2 Esports
Ik Yang
Team FanTuan
RONop
Debora Anahi Lopez
Vicente Luque
Luke Riley
Dawid Ambroziak
Fabio Pacheco
Max Holloway
Evgeny Anisimov
Oleksii Polischuk
Wilson Reis
Maria Cecilia Roman
Alexey Innazarov
Arthur Ferreira
Endrit Brajshori
Beno Adamia
Nell Ariano
Roberto Hernandez
Wehen
Alonzo Menifield
Marcos Galvão
Stevi Levy
Elves Brener
Gorka Guruzeta
Kieran Tierney
Anton Molochko
Isaac Dulgarian
Trunks
Jason Moloney
FrenchFrogs
AVANGAR
Lukas Zimcik
Team KongDoo Panthera
Tom Farrell
Su Hwan Oh
Waldo Cortes-Acosta
Alberth Dias
Rose Volante
Eduardo Hernandez
iDeal eSports
Thunder Predator
Simone D'Anna
Nicolas Callaba
Kazuki Tokudome
Rabindra Dhant
Johnny Walker
Sam Patterson
Joana Pastrana
Joao Felix
Stefano Paterno
Adrianna Kreft
Shinechagtga Zoltsetseg
Diego Alberto Ruiz
DongRaeGu
Ellevens Esports
MaNa
Reese Lynch
c0ntact Gaming
Fnatic Academy
Rebecca Nicoli
Yevgeny Orlov
FiVe eSports Club
Sergiu Barancean
Alexander Hernandez
PARIVISION
Fiston Mbaya Mulumba
Sam Bowen
Mido Hesham
Ellie Scotney
Ryosuke Iwasa
Oleksandr Dukhovenko
Abdelhaq Nadir
Dream Gaming
Khadis Ibragimov
Phantom Wizard
